# Eestikeelsed nimetused SPECHURT-i feedi kohta.
# Vorming: tyyp;votme;nimi;kirjeldus
tyyp;votme;nimi;kirjeldus
toode;SP-1001;Tööpüksid PREMIUM;"<p>Vastupidavad tööpüksid segamaterjalist (65% polüester, 35% puuvill), pindtihedus 260 g/m². Tugevdatud põlveosa koos taskutega põlvekaitsmetele, kuus taskut.</p><p>Sobib igapäevaseks kasutamiseks ehitusel ja tootmises.</p>"
toode;SP-1002;Tööpüksid PREMIUM CLASSIC;"<p>Vastupidavad tööpüksid segamaterjalist (65% polüester, 35% puuvill), pindtihedus 260 g/m². Tugevdatud põlveosa koos taskutega põlvekaitsmetele, kuus taskut.</p><p>Sobib igapäevaseks kasutamiseks ehitusel ja tootmises.</p>"
kategooria;Odzież robocza;Tööriided;
kategooria;Spodnie robocze;Tööpüksid;
toode;SP-1011;Traksipüksid HD;"<p>Traksipüksid reguleeritavate õlarihmadega ja mõõdulindi taskuga. Rebenemiskindel materjal, tugevdatud õmblused.</p>"
toode;SP-1012;Traksipüksid HD CLASSIC;"<p>Traksipüksid reguleeritavate õlarihmadega ja mõõdulindi taskuga. Rebenemiskindel materjal, tugevdatud õmblused.</p>"
toode;SP-1013;Traksipüksid HD PRO;"<p>Traksipüksid reguleeritavate õlarihmadega ja mõõdulindi taskuga. Rebenemiskindel materjal, tugevdatud õmblused.</p>"
toode;SP-1014;Traksipüksid HD ECO;"<p>Traksipüksid reguleeritavate õlarihmadega ja mõõdulindi taskuga. Rebenemiskindel materjal, tugevdatud õmblused.</p>"
toode;SP-1021;Soojustatud tööjope WINTER;"<p>Soojustatud tööjope eemaldatava kapuutsiga. Helkurribad, veetõrjuv pealiskiht ja tuulekindel vooder. Sobib talviseks välitööks.</p>"
toode;SP-1022;Soojustatud tööjope WINTER CLASSIC;"<p>Soojustatud tööjope eemaldatava kapuutsiga. Helkurribad, veetõrjuv pealiskiht ja tuulekindel vooder. Sobib talviseks välitööks.</p>"
toode;SP-1023;Soojustatud tööjope WINTER PRO;"<p>Soojustatud tööjope eemaldatava kapuutsiga. Helkurribad, veetõrjuv pealiskiht ja tuulekindel vooder. Sobib talviseks välitööks.</p>"
kategooria;Kurtki robocze;Tööjoped;
toode;SP-1031;Tööt-särk puuvillane;"<p>Kammitud puuvillast t-särk (180 g/m²), tugevdatud kaelusega. Hea õhuvahetus ja pesukindel värv.</p>"
toode;SP-1032;Tööt-särk puuvillane CLASSIC;"<p>Kammitud puuvillast t-särk (180 g/m²), tugevdatud kaelusega. Hea õhuvahetus ja pesukindel värv.</p>"
toode;SP-1033;Tööt-särk puuvillane PRO;"<p>Kammitud puuvillast t-särk (180 g/m²), tugevdatud kaelusega. Hea õhuvahetus ja pesukindel värv.</p>"
toode;SP-1034;Tööt-särk puuvillane ECO;"<p>Kammitud puuvillast t-särk (180 g/m²), tugevdatud kaelusega. Hea õhuvahetus ja pesukindel värv.</p>"
kategooria;Koszulki;T-särgid;
toode;SP-1041;Helkurvest EN ISO 20471;"<p>2. klassi helkurvest takjakinnitusega, kaks helkurriba. Vastab standardile EN ISO 20471.</p>"
toode;SP-1042;Helkurvest EN ISO 20471 CLASSIC;"<p>2. klassi helkurvest takjakinnitusega, kaks helkurriba. Vastab standardile EN ISO 20471.</p>"
kategooria;Odzież ostrzegawcza;Ohutusriided;
toode;SP-1051;Turvajalatsid S3 SRC komposiitninaga;"<p>S3 SRC klassi turvajalatsid: komposiitnina (löögikindlus 200 J), läbistuskindel vahetald, õli- ja libisemiskindel tald. Metallivaba, sobib metallidetektoriga aladel.</p>"
toode;SP-1052;Turvajalatsid S3 SRC komposiitninaga CLASSIC;"<p>S3 SRC klassi turvajalatsid: komposiitnina (löögikindlus 200 J), läbistuskindel vahetald, õli- ja libisemiskindel tald. Metallivaba, sobib metallidetektoriga aladel.</p>"
toode;SP-1053;Turvajalatsid S3 SRC komposiitninaga PRO;"<p>S3 SRC klassi turvajalatsid: komposiitnina (löögikindlus 200 J), läbistuskindel vahetald, õli- ja libisemiskindel tald. Metallivaba, sobib metallidetektoriga aladel.</p>"
kategooria;Obuwie robocze;Tööjalatsid;
kategooria;Buty robocze;Turvajalatsid;
toode;SP-1061;Talvised tööpoolsaapad S3 CI;"<p>Soojustatud talvised tööpoolsaapad, külmaisolatsioon CI, terasnina ja läbistuskindel tald. Veekindel nahk.</p>"
toode;SP-1062;Talvised tööpoolsaapad S3 CI CLASSIC;"<p>Soojustatud talvised tööpoolsaapad, külmaisolatsioon CI, terasnina ja läbistuskindel tald. Veekindel nahk.</p>"
kategooria;Trzewiki;Töösaapad;
toode;SP-1071;Antibakteriaalsed sisetallad;"<p>Aktiivsöega sisetallad, lõigatavad õige suuruse saamiseks. Vähendavad higistamist ja lõhna.</p>"
toode;SP-1072;Antibakteriaalsed sisetallad CLASSIC;"<p>Aktiivsöega sisetallad, lõigatavad õige suuruse saamiseks. Vähendavad higistamist ja lõhna.</p>"
kategooria;Wkładki i akcesoria;Sisetallad ja tarvikud;
toode;SP-1081;Nitriilkattega töökindad;"<p>Kootud töökindad nitriilkattega. Väga hea haardevõime nii kuivas kui õlises keskkonnas. Vastab standardile EN 388.</p>"
toode;SP-1082;Nitriilkattega töökindad CLASSIC;"<p>Kootud töökindad nitriilkattega. Väga hea haardevõime nii kuivas kui õlises keskkonnas. Vastab standardile EN 388.</p>"
toode;SP-1083;Nitriilkattega töökindad PRO;"<p>Kootud töökindad nitriilkattega. Väga hea haardevõime nii kuivas kui õlises keskkonnas. Vastab standardile EN 388.</p>"
toode;SP-1084;Nitriilkattega töökindad ECO;"<p>Kootud töökindad nitriilkattega. Väga hea haardevõime nii kuivas kui õlises keskkonnas. Vastab standardile EN 388.</p>"
kategooria;Ochrona rąk;Kätekaitse;
kategooria;Rękawice robocze;Töökindad;
toode;SP-1091;Lõikekindlad kindad tase C;"<p>HPPE-kiust lõikekindlad kindad, lõikekindluse tase C. Õhuke ja painduv, säilitab sõrmetundlikkuse.</p>"
toode;SP-1092;Lõikekindlad kindad tase C CLASSIC;"<p>HPPE-kiust lõikekindlad kindad, lõikekindluse tase C. Õhuke ja painduv, säilitab sõrmetundlikkuse.</p>"
toode;SP-1093;Lõikekindlad kindad tase C PRO;"<p>HPPE-kiust lõikekindlad kindad, lõikekindluse tase C. Õhuke ja painduv, säilitab sõrmetundlikkuse.</p>"
toode;SP-1094;Lõikekindlad kindad tase C ECO;"<p>HPPE-kiust lõikekindlad kindad, lõikekindluse tase C. Õhuke ja painduv, säilitab sõrmetundlikkuse.</p>"
kategooria;Rękawice antyprzecięciowe;Lõikekindlad kindad;
toode;SP-1101;Ehituskiiver reguleeritava rihmaga;"<p>ABS-plastist ehituskiiver, nupuga reguleeritav peavõru, lõuarihma kinnituskohad. Vastab standardile EN 397.</p>"
toode;SP-1102;Ehituskiiver reguleeritava rihmaga CLASSIC;"<p>ABS-plastist ehituskiiver, nupuga reguleeritav peavõru, lõuarihma kinnituskohad. Vastab standardile EN 397.</p>"
kategooria;Ochrona głowy;Peakaitse;
kategooria;Hełmy ochronne;Kaitsekiivrid;
toode;SP-1111;Kaitseprillid udukindla kattega;"<p>Polükarbonaadist kaitseprillid udukindla ja kriimustuskindla kattega. UV-kaitse, reguleeritavad sangad.</p>"
toode;SP-1112;Kaitseprillid udukindla kattega CLASSIC;"<p>Polükarbonaadist kaitseprillid udukindla ja kriimustuskindla kattega. UV-kaitse, reguleeritavad sangad.</p>"
toode;SP-1113;Kaitseprillid udukindla kattega PRO;"<p>Polükarbonaadist kaitseprillid udukindla ja kriimustuskindla kattega. UV-kaitse, reguleeritavad sangad.</p>"
kategooria;Okulary ochronne;Kaitseprillid;
toode;SP-1121;Kõrvaklapid SNR 30 dB;"<p>Mürakaitseklapid summutusega SNR 30 dB. Pehmed padjad ja reguleeritav peavõru. Vastab standardile EN 352-1.</p>"
toode;SP-1122;Kõrvaklapid SNR 30 dB CLASSIC;"<p>Mürakaitseklapid summutusega SNR 30 dB. Pehmed padjad ja reguleeritav peavõru. Vastab standardile EN 352-1.</p>"
toode;SP-1123;Kõrvaklapid SNR 30 dB PRO;"<p>Mürakaitseklapid summutusega SNR 30 dB. Pehmed padjad ja reguleeritav peavõru. Vastab standardile EN 352-1.</p>"
kategooria;Ochronniki słuchu;Kuulmiskaitsmed;
toode;SP-1131;Lehtsilmusvõtmete komplekt 12 tk 8–22 mm;"<p>Kroom-vanaadiumterasest lehtsilmusvõtmete komplekt, satiinviimistlus. Kaasas hoiukott. Mõõdud 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 22 mm.</p>"
toode;SP-1132;Lehtsilmusvõtmete komplekt 12 tk 8–22 mm CLASSIC;"<p>Kroom-vanaadiumterasest lehtsilmusvõtmete komplekt, satiinviimistlus. Kaasas hoiukott. Mõõdud 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 22 mm.</p>"
toode;SP-1133;Lehtsilmusvõtmete komplekt 12 tk 8–22 mm PRO;"<p>Kroom-vanaadiumterasest lehtsilmusvõtmete komplekt, satiinviimistlus. Kaasas hoiukott. Mõõdud 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 22 mm.</p>"
kategooria;Narzędzia ręczne;Käsitööriistad;
kategooria;Klucze;Võtmed;
toode;SP-1141;Lukksepavasar 500 g klaaskiudvarrega;"<p>Sepistatud terasest lukksepavasar, libisemiskindel klaaskiudvars. Kaal 500 g.</p>"
toode;SP-1142;Lukksepavasar 500 g klaaskiudvarrega CLASSIC;"<p>Sepistatud terasest lukksepavasar, libisemiskindel klaaskiudvars. Kaal 500 g.</p>"
kategooria;Młotki;Haamrid;
toode;SP-1151;Täppiskruvikeerajate komplekt 6 tk;"<p>S2-terasest täppiskruvikeerajad pöörleva otsaga. Sobivad elektroonikatöödeks.</p>"
toode;SP-1152;Täppiskruvikeerajate komplekt 6 tk CLASSIC;"<p>S2-terasest täppiskruvikeerajad pöörleva otsaga. Sobivad elektroonikatöödeks.</p>"
kategooria;Wkrętaki;Kruvikeerajad;
toode;SP-1161;Mõõdulint 5 m magnetiga;"<p>Mõõdulint lindilukuga ja magnetiga otsakinnitusel. Kummeeritud korpus, vöökinnitus. Pikkus 5 m, laius 25 mm.</p>"
